,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
98,20-12-2022,Night,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71,3150.71
99,20-12-2022,Morning,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35,7265.35
100,21-12-2022,RTC,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0,5451.0
101,21-12-2022,Evening,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79,7223.79
102,21-12-2022,Day,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84,5261.84
103,21-12-2022,Night,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34,2966.34
104,21-12-2022,Morning,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97,7470.97
105,22-12-2022,RTC,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34,5684.34
106,22-12-2022,Evening,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4,7528.4
107,22-12-2022,Day,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7,5646.7
108,22-12-2022,Night,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71,2947.71
109,22-12-2022,Morning,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23,7773.23
110,23-12-2022,RTC,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49,6070.49
111,23-12-2022,Evening,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67,7981.67
112,23-12-2022,Day,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3,6077.3
113,23-12-2022,Night,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74,2794.74
114,23-12-2022,Morning,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36,8924.36
115,24-12-2022,RTC,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96,5885.96
116,24-12-2022,Evening,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58,7928.58
117,24-12-2022,Day,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86,4979.86
118,24-12-2022,Night,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63,2743.63
119,24-12-2022,Morning,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81,9906.81
120,25-12-2022,RTC,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75,5169.75
121,25-12-2022,Evening,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4,5644.4
122,25-12-2022,Day,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77,5121.77
123,25-12-2022,Night,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4,2804.4
124,25-12-2022,Morning,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11,8681.11
